,zip,income
0,95124,131250
1,95125,114386
2,95126,85489
3,95127,84239
4,95128,80916
5,95129,131976
6,95130,106477
7,95131,114675
8,95132,102868
9,95133,79043
10,95134,132891
11,95135,137067
12,95136,98340
13,95138,159311
14,95139,125855
15,95140,0
16,95148,120088
17,95202,14549
18,95203,41218
19,95204,44953
20,95205,33915
21,95206,45342
22,95207,41307
23,95209,74645
24,95210,40426
25,95212,82260
26,95215,45441
27,95219,81049
28,95220,65682
29,95222,51308
30,95223,57083
31,95224,19000
32,95227,88750
33,95228,76354
34,95230,82995
35,95231,40172
36,95234,0
37,95236,70809
38,95237,53646
39,95240,44499
40,95242,66626
41,95245,52829
42,95246,37917
43,95247,47235
44,95248,30903
45,95249,37034
46,95252,68023
47,95255,33669
48,95258,85047
49,95301,54434
50,95303,51364
51,95304,85035
52,95305,0
53,95306,44805
54,95307,51918
55,95310,38320
56,95311,46333
57,95313,45769
58,95315,49651
59,95316,69750
60,95318,86250
61,95319,28861
62,95320,63873
63,95321,47781
64,95322,42358
65,95323,62125
66,95324,57870
67,95326,59515
68,95327,53389
69,95328,46164
70,95329,54247
71,95330,72398
72,95333,47383
73,95334,53515
74,95335,38553
75,95336,61881
76,95337,78064
77,95338,52725
78,95340,51275
79,95341,34315
80,95346,51481
81,95348,42651
82,95350,46765
83,95351,38954
84,95354,45417
85,95355,61570
86,95356,67415
87,95357,60071
88,95358,55422
89,95360,53471
90,95361,59827
91,95363,62445
92,95364,0
93,95366,81570
94,95367,64756
95,95368,72348
96,95369,47426
97,95370,55086
98,95374,44667
99,95376,70501
100,95377,99411
101,95379,61801
102,95380,42786
103,95382,67416
104,95383,53929
105,95385,52708
106,95386,54386
107,95387,35708
108,95388,42740
109,95389,65096
110,95403,68550
111,95404,72272
112,95405,82274
113,95409,69660
114,95410,39048
115,95415,39044
116,95421,51838
117,95422,27161
118,95423,36292
119,95426,77714
120,95428,35288
121,95432,47955
122,95436,59548
123,95437,46366
124,95441,74688
125,95442,82566
126,95444,59000
127,95445,48880
128,95446,55132
129,95448,78515
130,95449,50000
131,95450,56786
132,95451,51587
133,95452,85993
134,95453,44533
135,95454,32880
136,95456,42292
137,95457,48388
138,95458,31765
139,95461,45800
140,95462,43086
141,95464,41250
142,95465,63036
143,95466,61250
144,95468,51595
145,95470,60428
146,95471,0
147,95472,78251
148,95476,72716
149,95482,46462
150,95485,37009
151,95490,42326
152,95492,91077
153,95494,0
