,zip,income
0,94545,84579
1,94546,85492
2,94547,107221
3,94549,155225
4,94550,114930
5,94551,108729
6,94552,133321
7,94553,89703
8,94555,132823
9,94556,139904
10,94558,83491
11,94559,68725
12,94560,96817
13,94561,88795
14,94563,185066
15,94564,83534
16,94565,62255
17,94566,139628
18,94568,133769
19,94569,142905
20,94571,64694
21,94572,67175
22,94573,0
23,94574,83720
24,94577,67686
25,94578,52419
26,94579,78054
27,94580,85021
28,94582,149859
29,94583,137719
30,94585,74155
31,94587,95625
32,94588,136734
33,94589,59558
34,94590,44689
35,94591,78628
36,94592,120125
37,94595,66638
38,94596,88527
39,94597,98343
40,94598,128299
41,94599,71667
42,94601,44666
43,94602,78347
44,94603,49793
45,94605,66211
46,94606,48421
47,94607,41870
48,94608,68352
49,94609,73765
50,94610,87059
51,94611,120601
52,94612,42880
53,94618,133125
54,94619,82994
55,94621,34566
56,94702,77699
57,94703,75181
58,94704,26758
59,94705,116250
60,94707,143297
61,94709,66028
62,94710,62524
63,94801,48822
64,94803,82788
65,94804,51918
66,94805,75843
67,94806,56605
68,94901,85889
69,94903,99071
70,94904,116469
71,94920,159423
72,94922,0
73,94923,120250
74,94924,52375
75,94925,134902
76,94928,62894
77,94930,99803
78,94931,73154
79,94933,94107
80,94938,85250
81,94939,99980
82,94941,133462
83,94945,93765
84,94946,108750
85,94947,97628
86,94949,83164
87,94951,95272
88,94952,82619
89,94956,66289
90,94957,243214
91,94960,123861
92,94963,106170
93,94965,101947
94,94970,119934
95,94971,84737
96,94972,0
97,94973,93403
98,95002,82845
99,95003,91500
100,95004,98672
101,95005,76250
102,95008,106536
103,95010,69590
104,95012,54793
105,95014,150529
106,95017,70000
107,95018,96651
108,95019,38854
109,95020,90144
110,95023,82935
111,95030,180222
112,95032,129177
113,95033,0
114,95035,110659
115,95037,108554
116,95039,39971
117,95043,73333
118,95045,62589
119,95046,110500
120,95050,84269
121,95051,113021
122,95054,140890
123,95060,65237
124,95062,69472
125,95064,44444
126,95065,91957
127,95066,102924
128,95073,86169
129,95075,70893
130,95076,61211
131,95110,76250
132,95111,66549
133,95112,60569
134,95113,114539
135,95116,56299
136,95117,82279
137,95118,101780
138,95119,120071
139,95120,171908
140,95121,94818
141,95122,66606
142,95123,102599
