,zip,income
0,98311,72840
1,98320,45357
2,98321,80077
3,98323,71354
4,98325,54697
5,98326,36950
6,98327,78326
7,98328,62768
8,98329,79253
9,98330,0
10,98331,38359
11,98332,97618
12,98335,87522
13,98337,38945
14,98338,73715
15,98339,47250
16,98340,57271
17,98342,72125
18,98345,60714
19,98346,79577
20,98349,56265
21,98350,36250
22,98354,71760
23,98355,26921
24,98356,38860
25,98357,37857
26,98358,64159
27,98359,76364
28,98361,35313
29,98362,46872
30,98363,54059
31,98364,0
32,98365,55515
33,98366,60109
34,98367,77114
35,98368,52410
36,98370,76055
37,98371,66423
38,98372,69865
39,98373,68333
40,98374,78936
41,98375,78176
42,98376,49032
43,98377,41984
44,98380,83783
45,98382,48660
46,98383,73385
47,98385,60000
48,98387,65985
49,98388,70523
50,98390,60022
51,98391,92384
52,98392,59563
53,98396,65313
54,98402,45797
55,98403,56012
56,98404,49047
57,98405,48411
58,98407,71059
59,98408,50768
60,98409,49464
61,98418,45262
62,98421,0
63,98422,90180
64,98424,61607
65,98433,44409
66,98438,0
67,98439,35179
68,98443,75270
69,98444,0
70,98445,61647
71,98446,66646
72,98465,55544
73,98466,57200
74,98467,61351
75,98498,60723
76,98499,39955
77,98501,67664
78,98502,62689
79,98503,61336
80,98512,71170
81,98513,72521
82,98516,74767
83,98520,44645
84,98524,66902
85,98526,43500
86,98528,57520
87,98531,41613
88,98532,55257
89,98535,0
90,98541,47813
91,98542,56667
92,98547,32083
93,98550,43012
94,98555,0
95,98557,55643
96,98558,83802
97,98563,63567
98,98564,46458
99,98565,56800
100,98568,50000
101,98569,41431
102,98570,53675
103,98571,70873
104,98572,57232
105,98576,56128
106,98577,46208
107,98579,68817
108,98580,60972
109,98584,51183
110,98585,71477
111,98586,37292
112,98587,33250
113,98589,58750
114,98591,46310
115,98592,59079
116,98593,45000
117,98595,39679
118,98596,45495
119,98597,58099
