,zip,category
0,90001.0,1.6294416243654823
1,90002.0,1.6199095022624435
2,90003.0,1.5646757053865885
3,90004.0,2.1197411003236244
4,90005.0,1.9514195583596214
5,90006.0,1.6488483268144285
6,90007.0,1.6759112519809827
7,90008.0,2.262632978723404
8,90010.0,2.8518518518518516
9,90011.0,1.551238591916558
10,90012.0,2.3508030431107354
11,90013.0,2.668918918918919
12,90014.0,2.681948424068768
13,90015.0,2.315606936416185
14,90016.0,2.050915587315766
15,90017.0,2.199165797705944
16,90018.0,1.8749433620299047
17,90019.0,2.210670314637483
18,90020.0,2.013835085777532
19,90021.0,2.5217391304347827
20,90022.0,1.7795815295815296
21,90023.0,1.6932380428807037
22,90024.0,3.34699272967614
23,90025.0,3.1915723761217323
24,90026.0,2.2453484705140334
25,90027.0,2.596121416526138
26,90028.0,2.0844793713163066
27,90029.0,1.8888888888888888
28,90031.0,1.8843373493975903
29,90032.0,2.077116935483871
30,90033.0,1.6879910213243547
31,90034.0,2.6567989590110606
32,90035.0,2.9842744817726947
33,90036.0,3.0170630816959667
34,90037.0,1.5735772357723576
35,90038.0,1.981968444778362
36,90039.0,2.7757009345794392
37,90040.0,1.9964476021314388
38,90041.0,2.727342549923195
39,90042.0,2.2898286547575646
40,90043.0,2.2212264150943395
41,90044.0,1.6601413811854269
42,90045.0,3.2570043103448274
43,90046.0,2.8410938654841096
44,90047.0,2.0294365012615643
45,90048.0,3.2063492063492065
46,90049.0,3.8109289617486337
47,90056.0,3.0807860262008733
48,90057.0,1.6473616473616473
49,90058.0,1.7972972972972974
50,90059.0,1.686512758201701
51,90061.0,1.7054329371816639
52,90062.0,1.7864547339322736
53,90063.0,1.7909048288795124
54,90064.0,3.3963414634146343
55,90065.0,2.429971988795518
56,90066.0,2.9564138908575477
57,90067.0,4.247023809523809
58,90068.0,3.122852233676976
59,90069.0,3.2654275092936804
60,90077.0,4.042394014962594
61,90094.0,3.9029535864978904
62,90201.0,1.7265066394279878
63,90210.0,3.9114857744994733
64,90211.0,3.3097014925373136
65,90212.0,3.411290322580645
66,90220.0,1.8615806304248514
67,90221.0,1.7652134423251589
68,90222.0,1.7879256965944272
69,90230.0,2.9881546134663344
70,90232.0,3.032258064516129
71,90240.0,2.5857497928748963
72,90241.0,2.3410516160154367
73,90242.0,2.241255144032922
74,90245.0,3.368310598111228
75,90247.0,2.122936576889661
76,90248.0,2.423698384201077
77,90249.0,2.2759134973900075
78,90250.0,2.168036529680365
79,90254.0,3.726235741444867
80,90255.0,1.7396411092985318
81,90260.0,2.1487179487179486
82,90262.0,1.825357142857143
83,90265.0,3.5135135135135136
84,90266.0,3.967570754716981
85,90270.0,1.744916820702403
86,90272.0,3.990503323836657
87,90274.0,3.984375
88,90275.0,3.749871067560598
89,90277.0,3.4844818516570224
90,90278.0,3.4283589489340605
91,90280.0,1.899901864573111
92,90290.0,3.2525252525252526
93,90291.0,3.1472045293701343
94,90292.0,3.62979683972912
95,90293.0,3.4574616457461644
96,90301.0,1.8771719592570402
97,90302.0,2.036101083032491
98,90303.0,1.9175965665236052
99,90304.0,1.7869565217391303
100,90305.0,2.545568039950062
101,90401.0,3.1755555555555555
102,90402.0,3.9501845018450186
103,90403.0,3.4571428571428573
104,90404.0,2.851363236587511
105,90405.0,3.319344262295082
106,90501.0,2.533169533169533
107,90502.0,2.5531674208144794
108,90503.0,3.171764705882353
109,90504.0,2.7299226650803092
110,90505.0,3.2079596412556053
111,90601.0,2.6305483028720626
112,90602.0,2.304147465437788
113,90603.0,2.9908350305498983
114,90604.0,2.488512035010941
115,90605.0,2.3776939655172415
116,90606.0,2.245956873315364
117,90620.0,2.560680698611733
118,90621.0,2.2231100184388444
119,90623.0,2.882506527415144
120,90630.0,2.905501889962201
121,90631.0,2.5496352679987315
122,90638.0,2.742895805142084
123,90640.0,2.18363136176066
124,90650.0,2.205913635396724
125,90660.0,2.1559821734658895
126,90670.0,2.414004914004914
127,90680.0,2.089401586157174
128,90701.0,2.217965653896962
129,90703.0,3.013469387755102
130,90706.0,2.1954022988505746
131,90710.0,2.388059701492537
132,90712.0,2.8919262555626193
133,90713.0,3.0212464589235126
134,90715.0,2.3777089783281733
135,90716.0,1.8056951423785594
136,90717.0,2.5919540229885056
137,90720.0,3.2516010978957
138,90723.0,1.8977796397151236
139,90731.0,2.401373521556658
140,90732.0,3.1934552454282965
141,90740.0,3.037037037037037
142,90744.0,1.95151789759855
143,90745.0,2.342397137745975
144,90746.0,2.591240875912409
145,90755.0,2.763793103448276
146,90802.0,2.4277138569284644
147,90803.0,3.30515117581187
148,90804.0,2.110800223838836
149,90805.0,1.9705954422935554
150,90806.0,2.014061654948621
151,90807.0,2.8677281077770975
152,90808.0,3.236047107014849
153,90810.0,2.078838174273859
154,90813.0,1.6866913123844731
155,90814.0,2.8263473053892216
156,90815.0,3.1325995807127884
157,91001.0,3.021288837744534
158,91006.0,3.0144727773949
159,91007.0,2.875
160,91008.0,3.4705882352941178
161,91010.0,2.42691990090834
162,91011.0,3.869927159209157
163,91016.0,2.6939834024896268
164,91020.0,2.7205479452054795
165,91024.0,3.3533697632058286
166,91030.0,3.27027027027027
167,91040.0,2.7191919191919194
168,91042.0,2.5162337662337664
169,91101.0,2.917269906928645
170,91103.0,2.4214046822742477
171,91104.0,2.733212341197822
172,91105.0,3.793363499245852
173,91106.0,2.9530315969257046
174,91107.0,3.085506367495452
175,91108.0,3.7693548387096776
176,91201.0,2.412807881773399
177,91202.0,2.766698024459078
178,91203.0,2.397506925207756
179,91204.0,2.084985835694051
