,zip,income
0,98601,61071
1,98604,76193
2,98605,53864
3,98607,96842
4,98610,38615
5,98611,60854
6,98612,50175
7,98614,0
8,98616,0
9,98620,42318
10,98624,38269
11,98625,71410
12,98626,49632
13,98628,33625
14,98629,85722
15,98631,36369
16,98632,42144
17,98635,45711
18,98638,56667
19,98640,33724
20,98642,93360
21,98644,29934
22,98647,19297
23,98648,49894
24,98649,56944
25,98650,62381
26,98651,66250
27,98661,48354
28,98663,54943
29,98664,57330
30,98665,59891
31,98671,78307
32,98672,60981
33,98674,67929
34,98675,70015
35,98682,67569
36,98683,66733
37,98684,63653
38,98685,89463
39,98686,78411
40,98801,55353
41,98802,61895
42,98812,41188
43,98813,44030
44,98815,60952
45,98816,49792
46,98819,31250
47,98822,42284
48,98823,61636
49,98824,42500
50,98826,51942
51,98831,68670
52,98837,51977
53,98840,38393
54,98841,47938
55,98843,52292
56,98844,39915
57,98846,42330
58,98848,55563
59,98849,50274
60,98850,47457
61,98851,40116
62,98855,40796
63,98856,36229
64,98857,44375
65,98858,43565
66,98862,65603
67,98901,38579
68,98902,41432
69,98903,47215
70,98908,58801
71,98922,53806
72,98923,52803
73,98925,63421
74,98926,51473
75,98930,46188
76,98932,47302
77,98933,51442
78,98934,44167
79,98936,56769
80,98937,55870
81,98940,61484
82,98941,54853
83,98942,60100
84,98943,59911
85,98944,43434
86,98947,49697
87,98948,43106
88,98951,44729
89,98952,45139
90,98953,65614
91,99001,44674
92,99003,70884
93,99004,45410
94,99005,92247
95,99006,60509
96,99011,65220
97,99016,58454
98,99019,75027
99,99021,63791
100,99022,57349
101,99026,69555
102,99027,63098
103,99029,62031
104,99030,63796
105,99031,48500
106,99032,35924
107,99033,53250
108,99037,58065
109,99109,40678
110,99110,31458
111,99111,52792
112,99114,44658
113,99115,57813
114,99116,52917
115,99117,42500
116,99118,42578
117,99122,53452
118,99123,60208
119,99133,41602
120,99134,37188
121,99137,48611
122,99139,51250
123,99141,50078
124,99148,56339
125,99153,38563
126,99156,49084
127,99157,26875
128,99159,52130
129,99161,59926
130,99163,32721
131,99166,41512
132,99169,44792
133,99170,43854
134,99171,47750
135,99173,33239
136,99180,42115
137,99185,45833
138,99201,26685
139,99202,34240
140,99203,73363
141,99204,32483
142,99205,46763
143,99206,55632
144,99207,35714
145,99208,59375
146,99212,48600
147,99216,44139
148,99217,47844
149,99218,45735
150,99223,64966
151,99224,60825
152,99301,61029
153,99320,59184
154,99322,61250
155,99323,71907
156,99324,42708
157,99326,56320
158,99328,46406
159,99336,45263
160,99337,71595
161,99338,104630
162,99341,54306
163,99343,59968
164,99344,49308
165,99349,53975
166,99350,56713
167,99352,73901
168,99353,86651
169,99354,66031
170,99357,46938
171,99360,82344
172,99361,60588
173,99362,52537
174,99403,47023
175,99501,58879
176,99502,86349
177,99503,53304
178,99504,77787
179,99507,88992
180,99508,62769
181,99510,0
182,99515,101229
183,99517,76522
184,99518,81449
185,99540,103000
186,99556,50913
187,99559,78404
188,99567,103199
189,99572,66801
190,99573,61000
191,99574,92396
192,99576,75563
193,99577,106166
194,99587,108362
195,99603,62196
196,99605,0
197,99610,67802
198,99611,60518
199,99613,95167
200,99615,80067
201,99633,68333
202,99639,51190
203,99645,80110
204,99652,63750
205,99654,78559
206,99663,59688
207,99664,73348
208,99669,77382
209,99672,73654
210,99676,59512
211,99683,34844
212,99685,92292
213,99686,93940
214,99688,49125
215,99692,86000
216,99693,49583
217,99701,58275
218,99702,57464
219,99703,54526
220,99705,81045
221,99709,84175
222,99712,86503
223,99714,69706
224,99723,82964
225,99737,75114
226,99743,90750
227,99755,51250
228,99780,57500
229,99801,91743
230,99824,75577
231,99827,70091
232,99829,60625
233,99830,51250
234,99833,63490
235,99835,70765
236,99840,70673
237,99901,67321
238,99921,58047
239,99929,55742
