,acaibowls,asianfusion,bakeries,breakfast_brunch,bubbletea,cafes,coffee,cupcakes,desserts,french,gluten_free,greek,indpak,italian,japanese,mediterranean,mideastern,newamerican,persian,pizza,salad,sandwiches,seafood,sushi,thai,turkish,vegetarian,vietnamese,wine_bars,salvadoran,price_1_percentage,price_2_percentage,price_3_percentage,price_4_percentage,rate_1_percentage,rate_1.5_percentage,rate_2_percentage,rate_2.5_percentage,rate_3_percentage,rate_3.5_percentage,rate_4_percentage,rate_4.5_percentage,rate_5_percentage,zip_code,count,latitude,longitude,income,city
91,1,0,1,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,1,1,0,0,1,0,0,0.6590909090909091,0.3409090909090909,0.0,0.0,0.0,0.0,0.0,0.0,0.06818181818181818,0.1590909090909091,0.45454545454545453,0.25,0.06818181818181818,90280,44,33.945493115171026,-118.19742638867079,47281,South Gate
92,0,0,1,0,0,1,1,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.16666666666666666,0.6666666666666666,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.6666666666666666,0.0,0.16666666666666666,90290,6,34.09623199909112,-118.60327776388318,103553,Los Angeles
93,1,0,1,1,0,1,1,0,1,1,1,0,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,0,0.24358974358974358,0.6666666666666666,0.08974358974358974,0.0,0.0,0.0,0.0,0.0,0.01282051282051282,0.2564102564102564,0.4230769230769231,0.2948717948717949,0.01282051282051282,90291,78,33.99339725848334,-118.46659777961531,88078,Venice
94,0,0,1,1,0,1,1,1,1,0,1,0,1,1,1,0,0,1,1,1,1,1,1,1,0,0,1,0,1,0,0.15789473684210525,0.7017543859649122,0.14035087719298245,0.0,0.0,0.0,0.0,0.0,0.08771929824561403,0.24561403508771928,0.5087719298245614,0.15789473684210525,0.0,90292,57,33.98322944110963,-118.44889689925523,103948,Marina Del Rey
95,0,0,1,1,0,1,1,0,0,0,0,0,1,1,0,0,0,1,0,1,0,1,1,0,0,0,0,1,1,0,0.25,0.7,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.65,0.2,0.0,90293,20,33.956658640691856,-118.44550292154995,100042,Playa Del Rey
96,0,0,1,1,0,0,1,1,1,0,1,0,0,1,0,0,0,0,0,1,1,1,1,0,1,0,1,0,0,0,0.5714285714285714,0.42857142857142855,0.0,0.0,0.0,0.0,0.0,0.0,0.061224489795918366,0.16326530612244897,0.4489795918367347,0.30612244897959184,0.02040816326530612,90301,49,33.95974643468897,-118.35618839919444,42100,Inglewood
97,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0.2857142857142857,0.7142857142857143,0.0,0.0,0.0,0.0,0.0,0.0,0.047619047619047616,0.23809523809523808,0.3333333333333333,0.2857142857142857,0.09523809523809523,90302,21,33.97544870948393,-118.35930402046812,43788,Inglewood
98,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0.5,0.5,0.0,0.0,0.0,0.0,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.25,0.4166666666666667,0.08333333333333333,0.0,90303,12,33.93808864771968,-118.33310580720699,44470,Inglewood
99,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0.6842105263157895,0.3157894736842105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2631578947368421,0.47368421052631576,0.2631578947368421,0.0,90304,19,33.9380969876644,-118.36029057507828,41054,Inglewood
100,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.4,0.2,0.0,0.2,90305,5,33.96043004,-118.32524698000002,68760,Inglewood
101,1,1,1,1,0,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0.13846153846153847,0.7076923076923077,0.13076923076923078,0.023076923076923078,0.0,0.0,0.0,0.015384615384615385,0.05384615384615385,0.2,0.5615384615384615,0.16153846153846155,0.007692307692307693,90401,130,34.01587813575605,-118.4950496652633,71154,Santa Monica
102,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.75,0.125,0.125,0.0,0.0,0.0,0.0,0.0,0.5,0.375,0.125,0.0,90402,8,34.03501902429931,-118.50473892552463,140179,Los Angeles
103,1,1,1,1,0,1,1,0,1,1,1,0,1,1,1,1,0,1,0,1,1,1,0,1,1,0,1,0,1,0,0.17857142857142858,0.6964285714285714,0.10714285714285714,0.017857142857142856,0.0,0.0,0.0,0.0,0.03571428571428571,0.2857142857142857,0.4642857142857143,0.17857142857142858,0.03571428571428571,90403,56,34.03013463594532,-118.49076025309557,92096,Santa Monica
104,0,1,1,1,0,1,1,0,0,0,1,0,0,1,0,0,0,1,0,1,1,1,0,0,0,0,1,0,1,0,0.35,0.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.55,0.15,0.1,90404,20,34.026874449623044,-118.47627309093016,73601,Santa Monica
