,zip,income
0,97544,34441
1,97601,38798
2,97622,42663
3,97623,42448
4,97624,45239
5,97627,47125
6,97630,37543
7,97632,40536
8,97633,42611
9,97636,43542
10,97638,55417
11,97641,25731
12,97701,60983
13,97702,63443
14,97707,45592
15,97720,38262
16,97730,76875
17,97733,31818
18,97734,56078
19,97737,38831
20,97738,49917
21,97739,40828
22,97741,45059
23,97750,36250
24,97753,90173
25,97754,37236
26,97756,54488
27,97759,67167
28,97760,59970
29,97761,41058
30,97801,49650
31,97812,54250
32,97813,63571
33,97814,44464
34,97818,49787
35,97820,46111
36,97823,36719
37,97824,54022
38,97825,50972
39,97826,39886
40,97827,46397
41,97828,47694
42,97830,32125
43,97833,44643
44,97834,39856
45,97836,55927
46,97838,52740
47,97844,55720
48,97845,52057
49,97846,49556
50,97850,44561
51,97862,46297
52,97865,37285
53,97867,35000
54,97869,41667
55,97870,39769
56,97875,56442
57,97877,11538
58,97880,37917
59,97882,38938
60,97883,46250
61,97885,36845
62,97886,61563
63,97907,43438
64,97910,40313
65,97913,43229
66,97914,35599
67,97918,38000
68,98001,77083
69,98002,51086
70,98003,53023
71,98004,117321
72,98005,101134
73,98006,126601
74,98007,87207
75,98008,95783
76,98010,90233
77,98011,86490
78,98012,93267
79,98014,99769
80,98019,120371
81,98020,89775
82,98021,110346
83,98022,65296
84,98023,75824
85,98024,129053
86,98026,83965
87,98027,108565
88,98028,96277
89,98029,112833
90,98030,58666
91,98031,73688
92,98032,51696
93,98033,117653
94,98034,93520
95,98037,68715
96,98038,99098
97,98040,136644
98,98042,94770
99,98043,69727
100,98045,101078
101,98047,54022
102,98050,134880
103,98052,117303
104,98053,123548
105,98055,68638
106,98057,44291
107,98058,85717
108,98059,97407
109,98065,133481
110,98068,102500
111,98070,77724
112,98072,110302
113,98074,160618
114,98075,163409
115,98077,144193
116,98087,73739
117,98092,81211
118,98101,0
119,98102,83403
120,98103,91740
121,98104,37610
122,98105,56015
123,98106,62726
124,98107,83581
125,98108,55314
126,98109,95719
127,98110,109341
128,98112,110051
129,98115,100794
130,98116,100711
131,98117,102519
132,98118,62504
133,98119,85171
134,98121,94813
135,98122,72018
136,98125,61014
137,98126,73698
138,98133,60409
139,98134,58125
140,98136,97673
141,98144,71628
142,98146,61160
143,98148,53342
144,98155,81405
145,98164,250000
146,98166,76658
147,98168,53992
148,98177,100036
149,98178,72478
150,98188,50231
151,98198,59843
152,98199,103309
153,98201,0
154,98203,66950
155,98204,48881
156,98208,82957
157,98220,51250
158,98221,65026
159,98223,76555
160,98225,41536
161,98226,61658
162,98229,60197
163,98230,64164
164,98232,71875
165,98233,56875
166,98235,23125
167,98236,67594
168,98237,52235
169,98238,0
170,98239,64412
171,98240,67989
172,98241,46591
173,98243,97885
174,98244,60464
175,98245,48396
176,98247,58036
177,98248,65514
178,98249,59935
179,98250,64601
180,98251,70156
181,98252,78000
182,98253,60132
183,98256,56667
184,98257,58750
185,98258,86012
186,98260,63613
187,98261,59643
188,98262,60192
189,98264,62810
190,98266,38382
191,98267,12034
192,98270,73803
193,98271,72732
194,98272,85029
195,98273,53439
196,98274,65495
197,98275,100450
198,98277,54690
199,98279,52212
200,98280,62083
201,98281,46298
202,98282,74221
203,98283,0
204,98284,57089
205,98288,38906
206,98290,86696
207,98292,77163
208,98294,63370
209,98295,52381
210,98296,119044
211,98303,65938
212,98304,53250
