,STATE,zipcode
11588,CA,91792
11594,CA,91801
11600,CA,91803
11606,CA,91901
11612,CA,91902
11618,CA,91905
11624,CA,91906
11630,CA,91910
11636,CA,91911
11642,CA,91913
11648,CA,91914
11654,CA,91915
11660,CA,91916
11666,CA,91917
11678,CA,91932
11684,CA,91934
11690,CA,91935
11696,CA,91941
11702,CA,91942
11708,CA,91945
11714,CA,91950
11720,CA,91962
11726,CA,91963
11732,CA,91977
11738,CA,91978
11744,CA,91980
11750,CA,92003
11756,CA,92004
11762,CA,92007
11768,CA,92008
11774,CA,92009
11780,CA,92010
11786,CA,92011
11792,CA,92014
11798,CA,92019
11804,CA,92020
11810,CA,92021
11816,CA,92024
11822,CA,92025
11828,CA,92026
11834,CA,92027
11840,CA,92028
11846,CA,92029
11852,CA,92036
11858,CA,92037
11864,CA,92040
11870,CA,92054
11876,CA,92055
11882,CA,92056
11888,CA,92057
11894,CA,92058
11900,CA,92059
11906,CA,92060
11912,CA,92061
11918,CA,92064
11924,CA,92065
11936,CA,92067
11942,CA,92069
11948,CA,92070
11954,CA,92071
11960,CA,92075
11966,CA,92078
11972,CA,92081
11978,CA,92082
11984,CA,92083
11990,CA,92084
11996,CA,92086
12008,CA,92101
12014,CA,92102
12020,CA,92103
12026,CA,92104
12032,CA,92105
12038,CA,92106
12044,CA,92107
12050,CA,92108
12056,CA,92109
12062,CA,92110
12068,CA,92111
12074,CA,92113
12080,CA,92114
12086,CA,92115
12092,CA,92116
12098,CA,92117
12104,CA,92118
12110,CA,92119
12116,CA,92120
12122,CA,92121
12128,CA,92122
12134,CA,92123
12140,CA,92124
12146,CA,92126
12152,CA,92127
12158,CA,92128
12164,CA,92129
12170,CA,92130
12176,CA,92131
12181,CA,92135
12187,CA,92139
12193,CA,92154
12199,CA,92173
12205,CA,92201
12211,CA,92203
12217,CA,92210
12223,CA,92211
12229,CA,92220
12235,CA,92223
12241,CA,92225
12247,CA,92227
12253,CA,92230
12259,CA,92231
12265,CA,92233
12271,CA,92234
12277,CA,92236
12283,CA,92240
12289,CA,92241
12295,CA,92242
12301,CA,92243
12307,CA,92249
12313,CA,92250
12319,CA,92251
12325,CA,92252
12331,CA,92253
12337,CA,92254
12343,CA,92256
12349,CA,92257
12355,CA,92258
12361,CA,92259
12367,CA,92260
12373,CA,92262
12379,CA,92264
12385,CA,92268
12391,CA,92270
12403,CA,92274
12409,CA,92275
12415,CA,92276
12421,CA,92277
12427,CA,92278
12433,CA,92281
12445,CA,92283
12451,CA,92284
12457,CA,92285
12463,CA,92301
12469,CA,92305
12475,CA,92307
12481,CA,92308
12487,CA,92309
12493,CA,92310
12499,CA,92311
12505,CA,92313
12511,CA,92314
12517,CA,92315
12523,CA,92316
12529,CA,92320
12535,CA,92321
12547,CA,92324
12553,CA,92325
12559,CA,92327
12565,CA,92328
12571,CA,92333
12577,CA,92335
12583,CA,92336
12589,CA,92337
12595,CA,92339
12601,CA,92341
12607,CA,92342
12613,CA,92344
12619,CA,92345
12625,CA,92346
12631,CA,92347
12637,CA,92352
12643,CA,92354
12649,CA,92356
12655,CA,92358
12661,CA,92359
12673,CA,92365
12679,CA,92368
12685,CA,92371
12691,CA,92372
12697,CA,92373
12703,CA,92374
12709,CA,92376
12715,CA,92377
12721,CA,92378
12727,CA,92382
12733,CA,92385
12739,CA,92386
12745,CA,92391
12751,CA,92392
12757,CA,92394
12763,CA,92395
12769,CA,92397
12775,CA,92398
12781,CA,92399
12787,CA,92401
12793,CA,92404
12799,CA,92405
12805,CA,92407
12811,CA,92408
12817,CA,92410
12823,CA,92411
12829,CA,92501
12835,CA,92503
12841,CA,92504
12847,CA,92505
12853,CA,92506
12859,CA,92507
12865,CA,92508
12871,CA,92509
12877,CA,92518
12883,CA,92530
12889,CA,92532
12895,CA,92536
12901,CA,92539
12907,CA,92543
12913,CA,92544
12919,CA,92545
12925,CA,92548
12931,CA,92549
12937,CA,92551
12943,CA,92553
12949,CA,92555
12955,CA,92557
12961,CA,92561
12967,CA,92562
12973,CA,92563
12979,CA,92567
12985,CA,92570
12991,CA,92571
12997,CA,92582
13003,CA,92583
13009,CA,92584
13015,CA,92585
13021,CA,92586
13027,CA,92587
13033,CA,92590
13039,CA,92591
13045,CA,92592
13051,CA,92595
13057,CA,92596
13063,CA,92602
13069,CA,92603
13075,CA,92604
13081,CA,92606
13087,CA,92610
13093,CA,92612
13099,CA,92614
13105,CA,92617
13111,CA,92618
13117,CA,92620
13123,CA,92624
13129,CA,92625
13135,CA,92626
13141,CA,92627
13147,CA,92629
13153,CA,92630
13159,CA,92637
13165,CA,92646
13171,CA,92647
13177,CA,92648
13183,CA,92649
13189,CA,92651
13195,CA,92653
13207,CA,92656
13213,CA,92657
13219,CA,92660
13225,CA,92661
13231,CA,92662
13237,CA,92663
13243,CA,92672
13249,CA,92673
13255,CA,92675
13261,CA,92676
13267,CA,92677
13273,CA,92678
13279,CA,92679
13285,CA,92683
13291,CA,92688
13297,CA,92691
13303,CA,92692
13309,CA,92694
13315,CA,92701
13321,CA,92703
13327,CA,92704
13333,CA,92705
13339,CA,92706
13345,CA,92707
13351,CA,92708
13357,CA,92780
13363,CA,92782
13369,CA,92801
13375,CA,92802
13381,CA,92804
13387,CA,92805
13393,CA,92806
13399,CA,92807
13405,CA,92808
13411,CA,92821
13417,CA,92823
13423,CA,92831
13429,CA,92832
13435,CA,92833
13441,CA,92835
13447,CA,92840
13453,CA,92841
13459,CA,92843
13465,CA,92844
13471,CA,92845
13477,CA,92860
13483,CA,92861
13489,CA,92865
13495,CA,92866
13501,CA,92867
13507,CA,92868
13513,CA,92869
13519,CA,92870
13525,CA,92879
13531,CA,92880
13537,CA,92881
13543,CA,92882
13549,CA,92883
13555,CA,92886
13561,CA,92887
13567,CA,93001
13573,CA,93003
13579,CA,93004
13585,CA,93010
13591,CA,93012
13597,CA,93013
13603,CA,93015
13609,CA,93021
13615,CA,93022
13621,CA,93023
13627,CA,93030
13633,CA,93033
13639,CA,93035
13645,CA,93036
13651,CA,93040
13657,CA,93041
13663,CA,93060
13669,CA,93063
13675,CA,93065
13681,CA,93066
13687,CA,93067
13693,CA,93101
13699,CA,93103
13705,CA,93105
13711,CA,93108
13717,CA,93109
13723,CA,93110
13729,CA,93111
13735,CA,93117
13747,CA,93202
13753,CA,93203
13759,CA,93204
13765,CA,93205
13771,CA,93206
13777,CA,93210
13783,CA,93212
13789,CA,93215
13795,CA,93218
13801,CA,93219
13812,CA,93221
13818,CA,93222
13824,CA,93223
13836,CA,93225
13842,CA,93226
13848,CA,93230
13854,CA,93234
13860,CA,93235
13866,CA,93238
13872,CA,93239
13878,CA,93240
13884,CA,93241
13896,CA,93243
13908,CA,93245
13914,CA,93247
13920,CA,93249
13926,CA,93250
13932,CA,93252
13938,CA,93254
13950,CA,93256
13956,CA,93257
13968,CA,93261
13974,CA,93263
13980,CA,93265
13992,CA,93267
13998,CA,93268
14004,CA,93270
14010,CA,93271
14016,CA,93272
14022,CA,93274
14028,CA,93277
14034,CA,93280
14040,CA,93283
14046,CA,93285
14052,CA,93286
14058,CA,93291
14064,CA,93292
14070,CA,93301
14076,CA,93304
14082,CA,93305
14088,CA,93306
14094,CA,93307
14100,CA,93308
14106,CA,93309
14112,CA,93311
14118,CA,93312
14124,CA,93313
