,index,zip_code,category1,category2,category3,category4,category5,all,list_cat,cat_list
290,327,91803,burgers mexican coffee bakeries cajun sandwiches szechuan korean vietnamese tacos hawaiian noodles italian indonesian bbq pizza buffets desserts uzbek chinese donuts taiwanese,breakfast_brunch soup wholesale_stores ? seafood vietnamese bbq noodles panasian bakeries desserts sandwiches cantonese italian mexican vegetarian customcakes buffets asianfusion salad delis,? kitchensupplies soulfood coffee soup sandwiches noodles breakfast_brunch salad bakeries halal chinese hkcafe,?,?,burgers mexican coffee bakeries cajun sandwiches szechuan korean vietnamese tacos hawaiian noodles italian indonesian bbq pizza buffets desserts uzbek chinese donuts taiwanese breakfast_brunch soup wholesale_stores ? seafood vietnamese bbq noodles panasian bakeries desserts sandwiches cantonese italian mexican vegetarian customcakes buffets asianfusion salad delis ? kitchensupplies soulfood coffee soup sandwiches noodles breakfast_brunch salad bakeries halal chinese hkcafe ? ?,"['?' 'asianfusion' 'bakeries' 'bbq' 'breakfast_brunch' 'buffets' 'burgers'
 'cajun' 'cantonese' 'chinese' 'coffee' 'customcakes' 'delis' 'desserts'
 'donuts' 'halal' 'hawaiian' 'hkcafe' 'indonesian' 'italian'
 'kitchensupplies' 'korean' 'mexican' 'noodles' 'panasian' 'pizza' 'salad'
 'sandwiches' 'seafood' 'soulfood' 'soup' 'szechuan' 'tacos' 'taiwanese'
 'uzbek' 'vegetarian' 'vietnamese' 'wholesale_stores']","['?' 'asianfusion' 'bakeries' 'bbq' 'breakfast_brunch' 'buffets' 'burgers'
 'cajun' 'cantonese' 'chinese' 'coffee' 'customcakes' 'delis' 'desserts'
 'donuts' 'halal' 'hawaiian' 'hkcafe' 'indonesian' 'italian'
 'kitchensupplies' 'korean' 'mexican' 'noodles' 'panasian' 'pizza' 'salad'
 'sandwiches' 'seafood' 'soulfood' 'soup' 'szechuan' 'tacos' 'taiwanese'
 'uzbek' 'vegetarian' 'vietnamese' 'wholesale_stores']"
291,329,91901,mexican greek japanese coffee tobaccoshops beer_and_wine divebars bbq hotdogs pizza buffets steak sportsbars icecream cafes burgers customcakes italian asianfusion sandwiches lounges tradamerican breakfast_brunch sushi newamerican,? newamerican chinese vapeshops delis breakfast_brunch tradamerican juicebars salad bars italian desserts seafood hotdogs burgers chicken_wings pubs,? sushi wine_bars sandwiches southern acaibowls breakfast_brunch seafood hotdog cupcakes salad pizza coffee chickenshop chicken_wings,?,?,mexican greek japanese coffee tobaccoshops beer_and_wine divebars bbq hotdogs pizza buffets steak sportsbars icecream cafes burgers customcakes italian asianfusion sandwiches lounges tradamerican breakfast_brunch sushi newamerican ? newamerican chinese vapeshops delis breakfast_brunch tradamerican juicebars salad bars italian desserts seafood hotdogs burgers chicken_wings pubs ? sushi wine_bars sandwiches southern acaibowls breakfast_brunch seafood hotdog cupcakes salad pizza coffee chickenshop chicken_wings ? ?,"['?' 'acaibowls' 'asianfusion' 'bars' 'bbq' 'beer_and_wine'
 'breakfast_brunch' 'buffets' 'burgers' 'cafes' 'chicken_wings'
 'chickenshop' 'chinese' 'coffee' 'cupcakes' 'customcakes' 'delis'
 'desserts' 'divebars' 'greek' 'hotdog' 'hotdogs' 'icecream' 'italian'
 'japanese' 'juicebars' 'lounges' 'mexican' 'newamerican' 'pizza' 'pubs'
 'salad' 'sandwiches' 'seafood' 'southern' 'sportsbars' 'steak' 'sushi'
 'tobaccoshops' 'tradamerican' 'vapeshops' 'wine_bars']","['?' 'acaibowls' 'asianfusion' 'bars' 'bbq' 'beer_and_wine'
 'breakfast_brunch' 'buffets' 'burgers' 'cafes' 'chicken_wings'
 'chickenshop' 'chinese' 'coffee' 'cupcakes' 'customcakes' 'delis'
 'desserts' 'divebars' 'greek' 'hotdog' 'hotdogs' 'icecream' 'italian'
 'japanese' 'juicebars' 'lounges' 'mexican' 'newamerican' 'pizza' 'pubs'
 'salad' 'sandwiches' 'seafood' 'southern' 'sportsbars' 'steak' 'sushi'
 'tobaccoshops' 'tradamerican' 'vapeshops' 'wine_bars']"
292,330,91902,mexican golf bakeries thai bbq coffee juicebars sushi pizza icecream sandwiches burgers hotdogs chinese seafood cafes breakfast_brunch,breakfast_brunch venues ? sandwiches japanese juicebars salad hotdogs chicken_wings burgers mexican cafes cocktailbars tradamerican mediterranean,? bars bubbletea chicken_wings coffee chickenshop sandwiches breakfast_brunch hawaiian tapas asianfusion,?,?,mexican golf bakeries thai bbq coffee juicebars sushi pizza icecream sandwiches burgers hotdogs chinese seafood cafes breakfast_brunch breakfast_brunch venues ? sandwiches japanese juicebars salad hotdogs chicken_wings burgers mexican cafes cocktailbars tradamerican mediterranean ? bars bubbletea chicken_wings coffee chickenshop sandwiches breakfast_brunch hawaiian tapas asianfusion ? ?,"['?' 'asianfusion' 'bakeries' 'bars' 'bbq' 'breakfast_brunch' 'bubbletea'
 'burgers' 'cafes' 'chicken_wings' 'chickenshop' 'chinese' 'cocktailbars'
 'coffee' 'golf' 'hawaiian' 'hotdogs' 'icecream' 'japanese' 'juicebars'
 'mediterranean' 'mexican' 'pizza' 'salad' 'sandwiches' 'seafood' 'sushi'
 'tapas' 'thai' 'tradamerican' 'venues']","['?' 'asianfusion' 'bakeries' 'bars' 'bbq' 'breakfast_brunch' 'bubbletea'
 'burgers' 'cafes' 'chicken_wings' 'chickenshop' 'chinese' 'cocktailbars'
 'coffee' 'golf' 'hawaiian' 'hotdogs' 'icecream' 'japanese' 'juicebars'
 'mediterranean' 'mexican' 'pizza' 'salad' 'sandwiches' 'seafood' 'sushi'
 'tapas' 'thai' 'tradamerican' 'venues']"
293,331,91905,tradamerican mediterranean,italian french ?,pizza seafood ?,?,?,tradamerican mediterranean italian french ? pizza seafood ? ? ?,['?' 'french' 'italian' 'mediterranean' 'pizza' 'seafood' 'tradamerican'],['?' 'french' 'italian' 'mediterranean' 'pizza' 'seafood' 'tradamerican']
294,332,91906,coffee grocery mexican sandwiches,pizza beer_and_wine ? hotdogs,sandwiches tradamerican ?,?,?,coffee grocery mexican sandwiches pizza beer_and_wine ? hotdogs sandwiches tradamerican ? ? ?,"['?' 'beer_and_wine' 'coffee' 'grocery' 'hotdogs' 'mexican' 'pizza'
 'sandwiches' 'tradamerican']","['?' 'beer_and_wine' 'coffee' 'grocery' 'hotdogs' 'mexican' 'pizza'
 'sandwiches' 'tradamerican']"
295,333,91910,pizza sushi mexican italian greek pubs icecream cafes newamerican coffee chicken_wings chinese korean thai tacos burgers pancakes seafood japanese organic_stores catering indpak vietnamese,? japanese breakfast_brunch buffets seafood mediterranean ramen beerbar desserts foodstands mexican wine_bars italian sportsbars juicebars greek coffee himalayan vietnamese,? gluten_free gelato sandwiches tradamerican desserts bbq cheesesteaks bars vietnamese breakfast_brunch buffets mexican hotpot soup,?,?,pizza sushi mexican italian greek pubs icecream cafes newamerican coffee chicken_wings chinese korean thai tacos burgers pancakes seafood japanese organic_stores catering indpak vietnamese ? japanese breakfast_brunch buffets seafood mediterranean ramen beerbar desserts foodstands mexican wine_bars italian sportsbars juicebars greek coffee himalayan vietnamese ? gluten_free gelato sandwiches tradamerican desserts bbq cheesesteaks bars vietnamese breakfast_brunch buffets mexican hotpot soup ? ?,"['?' 'bars' 'bbq' 'beerbar' 'breakfast_brunch' 'buffets' 'burgers' 'cafes'
 'catering' 'cheesesteaks' 'chicken_wings' 'chinese' 'coffee' 'desserts'
 'foodstands' 'gelato' 'gluten_free' 'greek' 'himalayan' 'hotpot'
 'icecream' 'indpak' 'italian' 'japanese' 'juicebars' 'korean'
 'mediterranean' 'mexican' 'newamerican' 'organic_stores' 'pancakes'
 'pizza' 'pubs' 'ramen' 'sandwiches' 'seafood' 'soup' 'sportsbars' 'sushi'
 'tacos' 'thai' 'tradamerican' 'vietnamese' 'wine_bars']","['?' 'bars' 'bbq' 'beerbar' 'breakfast_brunch' 'buffets' 'burgers' 'cafes'
 'catering' 'cheesesteaks' 'chicken_wings' 'chinese' 'coffee' 'desserts'
 'foodstands' 'gelato' 'gluten_free' 'greek' 'himalayan' 'hotpot'
 'icecream' 'indpak' 'italian' 'japanese' 'juicebars' 'korean'
 'mediterranean' 'mexican' 'newamerican' 'organic_stores' 'pancakes'
 'pizza' 'pubs' 'ramen' 'sandwiches' 'seafood' 'soup' 'sportsbars' 'sushi'
 'tacos' 'thai' 'tradamerican' 'vietnamese' 'wine_bars']"
296,334,91911,vietnamese hawaiian foodtrucks pizza sushi mexican seafood sandwiches juicebars icecream chinese bars grocery japanese sportsbars breakfast_brunch delis hotdogs cuban thai bakeries filipino burgers buffets farmersmarket,? bbq mexican sandwiches guamanian juicebars foodtrucks beerbar delis desserts musicvenues bakeries seafood burgers tradamerican hotdogs bars noodles breakfast_brunch ramen cocktailbars steak shavedice vegetarian,? hawaiian sandwiches foodtrucks seafood salad mexican tradamerican burgers ramen soup breakfast_brunch mediterranean,?,?,vietnamese hawaiian foodtrucks pizza sushi mexican seafood sandwiches juicebars icecream chinese bars grocery japanese sportsbars breakfast_brunch delis hotdogs cuban thai bakeries filipino burgers buffets farmersmarket ? bbq mexican sandwiches guamanian juicebars foodtrucks beerbar delis desserts musicvenues bakeries seafood burgers tradamerican hotdogs bars noodles breakfast_brunch ramen cocktailbars steak shavedice vegetarian ? hawaiian sandwiches foodtrucks seafood salad mexican tradamerican burgers ramen soup breakfast_brunch mediterranean ? ?,"['?' 'bakeries' 'bars' 'bbq' 'beerbar' 'breakfast_brunch' 'buffets'
 'burgers' 'chinese' 'cocktailbars' 'cuban' 'delis' 'desserts'
 'farmersmarket' 'filipino' 'foodtrucks' 'grocery' 'guamanian' 'hawaiian'
 'hotdogs' 'icecream' 'japanese' 'juicebars' 'mediterranean' 'mexican'
 'musicvenues' 'noodles' 'pizza' 'ramen' 'salad' 'sandwiches' 'seafood'
 'shavedice' 'soup' 'sportsbars' 'steak' 'sushi' 'thai' 'tradamerican'
 'vegetarian' 'vietnamese']","['?' 'bakeries' 'bars' 'bbq' 'beerbar' 'breakfast_brunch' 'buffets'
 'burgers' 'chinese' 'cocktailbars' 'cuban' 'delis' 'desserts'
 'farmersmarket' 'filipino' 'foodtrucks' 'grocery' 'guamanian' 'hawaiian'
 'hotdogs' 'icecream' 'japanese' 'juicebars' 'mediterranean' 'mexican'
 'musicvenues' 'noodles' 'pizza' 'ramen' 'salad' 'sandwiches' 'seafood'
 'shavedice' 'soup' 'sportsbars' 'steak' 'sushi' 'thai' 'tradamerican'
 'vegetarian' 'vietnamese']"
297,335,91913,coffee vietnamese pizza chicken_wings juicebars burgers hawaiian mexican asianfusion chinese newamerican tacos thai cupcakes bubbletea sushi bakeries,juicebars chinese ? breakfast_brunch chicken_wings bubbletea sushi japanese tacos delis sandwiches desserts coffee cupcakes,bubbletea noodles ? sandwiches desserts sushi lounges korean breakfast_brunch acaibowls customcakes juicebars,?,?,coffee vietnamese pizza chicken_wings juicebars burgers hawaiian mexican asianfusion chinese newamerican tacos thai cupcakes bubbletea sushi bakeries juicebars chinese ? breakfast_brunch chicken_wings bubbletea sushi japanese tacos delis sandwiches desserts coffee cupcakes bubbletea noodles ? sandwiches desserts sushi lounges korean breakfast_brunch acaibowls customcakes juicebars ? ?,"['?' 'acaibowls' 'asianfusion' 'bakeries' 'breakfast_brunch' 'bubbletea'
 'burgers' 'chicken_wings' 'chinese' 'coffee' 'cupcakes' 'customcakes'
 'delis' 'desserts' 'hawaiian' 'japanese' 'juicebars' 'korean' 'lounges'
 'mexican' 'newamerican' 'noodles' 'pizza' 'sandwiches' 'sushi' 'tacos'
 'thai' 'vietnamese']","['?' 'acaibowls' 'asianfusion' 'bakeries' 'breakfast_brunch' 'bubbletea'
 'burgers' 'chicken_wings' 'chinese' 'coffee' 'cupcakes' 'customcakes'
 'delis' 'desserts' 'hawaiian' 'japanese' 'juicebars' 'korean' 'lounges'
 'mexican' 'newamerican' 'noodles' 'pizza' 'sandwiches' 'sushi' 'tacos'
 'thai' 'vietnamese']"
298,336,91914,breweries delis bakeries vietnamese foodstands ramen icecream cafes mexican thai sushi donuts seafood coffee sportsbars salad foodtrucks pizza bbq,beerbar sandwiches desserts bars tacos sushi filipino pancakes ? japanese juicebars coffee tradamerican breakfast_brunch wineries mongolian,? mexican cupcakes catering bubbletea sandwiches wraps noodles,?,?,breweries delis bakeries vietnamese foodstands ramen icecream cafes mexican thai sushi donuts seafood coffee sportsbars salad foodtrucks pizza bbq beerbar sandwiches desserts bars tacos sushi filipino pancakes ? japanese juicebars coffee tradamerican breakfast_brunch wineries mongolian ? mexican cupcakes catering bubbletea sandwiches wraps noodles ? ?,"['?' 'bakeries' 'bars' 'bbq' 'beerbar' 'breakfast_brunch' 'breweries'
 'bubbletea' 'cafes' 'catering' 'coffee' 'cupcakes' 'delis' 'desserts'
 'donuts' 'filipino' 'foodstands' 'foodtrucks' 'icecream' 'japanese'
 'juicebars' 'mexican' 'mongolian' 'noodles' 'pancakes' 'pizza' 'ramen'
 'salad' 'sandwiches' 'seafood' 'sportsbars' 'sushi' 'tacos' 'thai'
 'tradamerican' 'vietnamese' 'wineries' 'wraps']","['?' 'bakeries' 'bars' 'bbq' 'beerbar' 'breakfast_brunch' 'breweries'
 'bubbletea' 'cafes' 'catering' 'coffee' 'cupcakes' 'delis' 'desserts'
 'donuts' 'filipino' 'foodstands' 'foodtrucks' 'icecream' 'japanese'
 'juicebars' 'mexican' 'mongolian' 'noodles' 'pancakes' 'pizza' 'ramen'
 'salad' 'sandwiches' 'seafood' 'sportsbars' 'sushi' 'tacos' 'thai'
 'tradamerican' 'vietnamese' 'wineries' 'wraps']"
299,337,91915,icecream sushi pizza asianfusion hotdogs sandwiches cajun tacos beerbar seafood chinese burgers italian japanese mexican tradamerican filipino tex-mex chicken_wings cafes hawaiian desserts delis coffee breakfast_brunch bars cupcakes mediterranean juicebars salad,? newamerican chinese hotdogs seafood desserts sandwiches mexican sportsbars noodles salad bars diners bbq catering juicebars tradamerican burgers pastashops japanese customcakes greek acaibowls,? salad gluten_free delis tradamerican soup chicken_wings breakfast_brunch bakeries cupcakes burgers pizza coffee,?,?,icecream sushi pizza asianfusion hotdogs sandwiches cajun tacos beerbar seafood chinese burgers italian japanese mexican tradamerican filipino tex-mex chicken_wings cafes hawaiian desserts delis coffee breakfast_brunch bars cupcakes mediterranean juicebars salad ? newamerican chinese hotdogs seafood desserts sandwiches mexican sportsbars noodles salad bars diners bbq catering juicebars tradamerican burgers pastashops japanese customcakes greek acaibowls ? salad gluten_free delis tradamerican soup chicken_wings breakfast_brunch bakeries cupcakes burgers pizza coffee ? ?,"['?' 'acaibowls' 'asianfusion' 'bakeries' 'bars' 'bbq' 'beerbar'
 'breakfast_brunch' 'burgers' 'cafes' 'cajun' 'catering' 'chicken_wings'
 'chinese' 'coffee' 'cupcakes' 'customcakes' 'delis' 'desserts' 'diners'
 'filipino' 'gluten_free' 'greek' 'hawaiian' 'hotdogs' 'icecream'
 'italian' 'japanese' 'juicebars' 'mediterranean' 'mexican' 'newamerican'
 'noodles' 'pastashops' 'pizza' 'salad' 'sandwiches' 'seafood' 'soup'
 'sportsbars' 'sushi' 'tacos' 'tex-mex' 'tradamerican']","['?' 'acaibowls' 'asianfusion' 'bakeries' 'bars' 'bbq' 'beerbar'
 'breakfast_brunch' 'burgers' 'cafes' 'cajun' 'catering' 'chicken_wings'
 'chinese' 'coffee' 'cupcakes' 'customcakes' 'delis' 'desserts' 'diners'
 'filipino' 'gluten_free' 'greek' 'hawaiian' 'hotdogs' 'icecream'
 'italian' 'japanese' 'juicebars' 'mediterranean' 'mexican' 'newamerican'
 'noodles' 'pastashops' 'pizza' 'salad' 'sandwiches' 'seafood' 'soup'
 'sportsbars' 'sushi' 'tacos' 'tex-mex' 'tradamerican']"
300,338,91916,seafood tradamerican,tradamerican mexican,?,?,?,seafood tradamerican tradamerican mexican ? ? ?,['?' 'mexican' 'seafood' 'tradamerican'],['?' 'mexican' 'seafood' 'tradamerican']
301,339,91917,breakfast_brunch,tradamerican,bbq,?,?,breakfast_brunch tradamerican bbq ? ?,['?' 'bbq' 'breakfast_brunch' 'tradamerican'],['?' 'bbq' 'breakfast_brunch' 'tradamerican']
302,340,91932,newamerican breakfast_brunch italian thai poke icecream breweries bakeries japanese seafood hawaiian coffee divebars sportsbars guamanian mexican pizza sandwiches chicken_wings candy hotdog burgers bars desserts,bars sandwiches ? sushi coffee newamerican mexican burgers coffeeroasteries karaoke tradamerican bbq wine_bars tapasmallplates cafes desserts salad italian hotdogs icecream breakfast_brunch,breakfast_brunch cafes ? hawaiian desserts cupcakes bbq musicvenues seafood beerbar sandwiches delis burgers bakeries,?,?,newamerican breakfast_brunch italian thai poke icecream breweries bakeries japanese seafood hawaiian coffee divebars sportsbars guamanian mexican pizza sandwiches chicken_wings candy hotdog burgers bars desserts bars sandwiches ? sushi coffee newamerican mexican burgers coffeeroasteries karaoke tradamerican bbq wine_bars tapasmallplates cafes desserts salad italian hotdogs icecream breakfast_brunch breakfast_brunch cafes ? hawaiian desserts cupcakes bbq musicvenues seafood beerbar sandwiches delis burgers bakeries ? ?,"['?' 'bakeries' 'bars' 'bbq' 'beerbar' 'breakfast_brunch' 'breweries'
 'burgers' 'cafes' 'candy' 'chicken_wings' 'coffee' 'coffeeroasteries'
 'cupcakes' 'delis' 'desserts' 'divebars' 'guamanian' 'hawaiian' 'hotdog'
 'hotdogs' 'icecream' 'italian' 'japanese' 'karaoke' 'mexican'
 'musicvenues' 'newamerican' 'pizza' 'poke' 'salad' 'sandwiches' 'seafood'
 'sportsbars' 'sushi' 'tapasmallplates' 'thai' 'tradamerican' 'wine_bars']","['?' 'bakeries' 'bars' 'bbq' 'beerbar' 'breakfast_brunch' 'breweries'
 'burgers' 'cafes' 'candy' 'chicken_wings' 'coffee' 'coffeeroasteries'
 'cupcakes' 'delis' 'desserts' 'divebars' 'guamanian' 'hawaiian' 'hotdog'
 'hotdogs' 'icecream' 'italian' 'japanese' 'karaoke' 'mexican'
 'musicvenues' 'newamerican' 'pizza' 'poke' 'salad' 'sandwiches' 'seafood'
 'sportsbars' 'sushi' 'tapasmallplates' 'thai' 'tradamerican' 'wine_bars']"
303,341,91934,southern bars sandwiches,bbq tradamerican hotdogs ?,soulfood ?,?,?,southern bars sandwiches bbq tradamerican hotdogs ? soulfood ? ? ?,"['?' 'bars' 'bbq' 'hotdogs' 'sandwiches' 'soulfood' 'southern'
 'tradamerican']","['?' 'bars' 'bbq' 'hotdogs' 'sandwiches' 'soulfood' 'southern'
 'tradamerican']"
304,342,91935,sportsbars pizza mexican meats sandwiches convenience coffee burgers,pubs tapasmallplates italian ? mexican hotdogs servicestations,? coffee,?,?,sportsbars pizza mexican meats sandwiches convenience coffee burgers pubs tapasmallplates italian ? mexican hotdogs servicestations ? coffee ? ?,"['?' 'burgers' 'coffee' 'convenience' 'hotdogs' 'italian' 'meats'
 'mexican' 'pizza' 'pubs' 'sandwiches' 'servicestations' 'sportsbars'
 'tapasmallplates']","['?' 'burgers' 'coffee' 'convenience' 'hotdogs' 'italian' 'meats'
 'mexican' 'pizza' 'pubs' 'sandwiches' 'servicestations' 'sportsbars'
 'tapasmallplates']"
305,343,91941,sushi bars mexican pizza desserts delis asianfusion thai japanese gastropubs juicebars diners catering seafood steak italian,? buffets italian sandwiches sushi tradamerican vegan breakfast_brunch mediterranean greek tacos cocktailbars vegetarian,? bars salad beerbar mideastern tradamerican mediterranean seafood,?,?,sushi bars mexican pizza desserts delis asianfusion thai japanese gastropubs juicebars diners catering seafood steak italian ? buffets italian sandwiches sushi tradamerican vegan breakfast_brunch mediterranean greek tacos cocktailbars vegetarian ? bars salad beerbar mideastern tradamerican mediterranean seafood ? ?,"['?' 'asianfusion' 'bars' 'beerbar' 'breakfast_brunch' 'buffets'
 'catering' 'cocktailbars' 'delis' 'desserts' 'diners' 'gastropubs'
 'greek' 'italian' 'japanese' 'juicebars' 'mediterranean' 'mexican'
 'mideastern' 'pizza' 'salad' 'sandwiches' 'seafood' 'steak' 'sushi'
 'tacos' 'thai' 'tradamerican' 'vegan' 'vegetarian']","['?' 'asianfusion' 'bars' 'beerbar' 'breakfast_brunch' 'buffets'
 'catering' 'cocktailbars' 'delis' 'desserts' 'diners' 'gastropubs'
 'greek' 'italian' 'japanese' 'juicebars' 'mediterranean' 'mexican'
 'mideastern' 'pizza' 'salad' 'sandwiches' 'seafood' 'steak' 'sushi'
 'tacos' 'thai' 'tradamerican' 'vegan' 'vegetarian']"
306,344,91942,thai mexican coffee pizza sportsbars tex-mex burgers tobaccoshops cafes french tacos arcades italian sushi pubs japanese mediterranean russian tradamerican delis irish_pubs vietnamese seafood bagels icecream bbq hotdogs poolhalls breakfast_brunch salad buffets indpak newamerican breweries,? sportsbars beer_and_wine karaoke tradamerican bars coffee newamerican beerbar breakfast_brunch modern_european asianfusion sushi greek italian ukrainian seafood breweries lounges gluten_free salad sandwiches desserts pubs fishnchips burgers dimsum waffles vegetarian steak acaibowls himalayan internetcafe mexican pizza beergardens wine_bars hotdogs,? sandwiches bars tradamerican breakfast_brunch cocktailbars venues salad mexican newamerican gelato burgers vegetarian creperies seafood desserts juicebars italian wine_bars beerbar musicvenues foodtrucks,?,?,thai mexican coffee pizza sportsbars tex-mex burgers tobaccoshops cafes french tacos arcades italian sushi pubs japanese mediterranean russian tradamerican delis irish_pubs vietnamese seafood bagels icecream bbq hotdogs poolhalls breakfast_brunch salad buffets indpak newamerican breweries ? sportsbars beer_and_wine karaoke tradamerican bars coffee newamerican beerbar breakfast_brunch modern_european asianfusion sushi greek italian ukrainian seafood breweries lounges gluten_free salad sandwiches desserts pubs fishnchips burgers dimsum waffles vegetarian steak acaibowls himalayan internetcafe mexican pizza beergardens wine_bars hotdogs ? sandwiches bars tradamerican breakfast_brunch cocktailbars venues salad mexican newamerican gelato burgers vegetarian creperies seafood desserts juicebars italian wine_bars beerbar musicvenues foodtrucks ? ?,"['?' 'acaibowls' 'arcades' 'asianfusion' 'bagels' 'bars' 'bbq'
 'beer_and_wine' 'beerbar' 'beergardens' 'breakfast_brunch' 'breweries'
 'buffets' 'burgers' 'cafes' 'cocktailbars' 'coffee' 'creperies' 'delis'
 'desserts' 'dimsum' 'fishnchips' 'foodtrucks' 'french' 'gelato'
 'gluten_free' 'greek' 'himalayan' 'hotdogs' 'icecream' 'indpak'
 'internetcafe' 'irish_pubs' 'italian' 'japanese' 'juicebars' 'karaoke'
 'lounges' 'mediterranean' 'mexican' 'modern_european' 'musicvenues'
 'newamerican' 'pizza' 'poolhalls' 'pubs' 'russian' 'salad' 'sandwiches'
 'seafood' 'sportsbars' 'steak' 'sushi' 'tacos' 'tex-mex' 'thai'
 'tobaccoshops' 'tradamerican' 'ukrainian' 'vegetarian' 'venues'
 'vietnamese' 'waffles' 'wine_bars']","['?' 'acaibowls' 'arcades' 'asianfusion' 'bagels' 'bars' 'bbq'
 'beer_and_wine' 'beerbar' 'beergardens' 'breakfast_brunch' 'breweries'
 'buffets' 'burgers' 'cafes' 'cocktailbars' 'coffee' 'creperies' 'delis'
 'desserts' 'dimsum' 'fishnchips' 'foodtrucks' 'french' 'gelato'
 'gluten_free' 'greek' 'himalayan' 'hotdogs' 'icecream' 'indpak'
 'internetcafe' 'irish_pubs' 'italian' 'japanese' 'juicebars' 'karaoke'
 'lounges' 'mediterranean' 'mexican' 'modern_european' 'musicvenues'
 'newamerican' 'pizza' 'poolhalls' 'pubs' 'russian' 'salad' 'sandwiches'
 'seafood' 'sportsbars' 'steak' 'sushi' 'tacos' 'tex-mex' 'thai'
 'tobaccoshops' 'tradamerican' 'ukrainian' 'vegetarian' 'venues'
 'vietnamese' 'waffles' 'wine_bars']"
307,346,91945,pizza mexican icecream thai sushi diners hotdogs chickenshop coffee vietnamese chinese chicken_wings bbq fishnchips italian wine_bars delis burgers sandwiches,italian ? desserts asianfusion japanese breakfast_brunch hotdog hotdogs seafood buffets salad pizza greek,? coffee seafood tradamerican burgers waffles mexican hotdogs sicilian sandwiches cafes,?,?,pizza mexican icecream thai sushi diners hotdogs chickenshop coffee vietnamese chinese chicken_wings bbq fishnchips italian wine_bars delis burgers sandwiches italian ? desserts asianfusion japanese breakfast_brunch hotdog hotdogs seafood buffets salad pizza greek ? coffee seafood tradamerican burgers waffles mexican hotdogs sicilian sandwiches cafes ? ?,"['?' 'asianfusion' 'bbq' 'breakfast_brunch' 'buffets' 'burgers' 'cafes'
 'chicken_wings' 'chickenshop' 'chinese' 'coffee' 'delis' 'desserts'
 'diners' 'fishnchips' 'greek' 'hotdog' 'hotdogs' 'icecream' 'italian'
 'japanese' 'mexican' 'pizza' 'salad' 'sandwiches' 'seafood' 'sicilian'
 'sushi' 'thai' 'tradamerican' 'vietnamese' 'waffles' 'wine_bars']","['?' 'asianfusion' 'bbq' 'breakfast_brunch' 'buffets' 'burgers' 'cafes'
 'chicken_wings' 'chickenshop' 'chinese' 'coffee' 'delis' 'desserts'
 'diners' 'fishnchips' 'greek' 'hotdog' 'hotdogs' 'icecream' 'italian'
 'japanese' 'mexican' 'pizza' 'salad' 'sandwiches' 'seafood' 'sicilian'
 'sushi' 'thai' 'tradamerican' 'vietnamese' 'waffles' 'wine_bars']"
