,zip_code,count,latitude,longitude,Price_1,Price_2,Price_3,Price_4,Rating_1,Rating_1.5,Rating_2,Rating_2.5,Rating_3,Rating_3.5,Rating_4,Rating_4.5,Rating_5,count_businesses,city
2255,98321,9,47.16114223985343,-122.04905290783356,6,3,0,0,1,0,0,1,0,4,1,2,0,9,Buckley
2256,98323,1,47.076906799999996,-122.05600600000001,0,1,0,0,0,0,0,0,0,0,1,0,0,1,Carbonado
2257,98324,1,48.0896987915039,-123.172866821289,0,1,0,0,0,0,0,0,0,0,1,0,0,1,Carlsborg
2258,98325,2,48.0110803430176,-122.769019366455,1,1,0,0,0,0,0,0,1,0,0,1,0,2,Chimacum
2259,98326,4,48.254026928656195,-124.27472970123452,1,2,1,0,0,0,0,0,1,0,2,1,0,4,Clallam Bay
2260,98327,18,47.09456942759318,-122.63864330772094,12,6,0,0,0,0,2,2,8,4,2,0,0,18,DuPont
2261,98328,15,46.86093425079662,-122.26461680071102,6,9,0,0,0,0,1,1,2,4,3,3,1,15,Eatonville
2262,98329,4,47.3843396325,-122.66598222500001,1,3,0,0,0,0,0,0,1,2,0,1,0,4,Gig Harbor
2263,98330,4,46.764167425,-122.19293992499999,4,0,0,0,0,0,0,0,1,0,1,1,1,4,Elbe
2264,98331,16,47.92434800487068,-124.37106403990852,7,9,0,0,0,0,0,3,5,3,4,1,0,16,Forks
2265,98332,25,47.35494566734841,-122.60264278092646,9,16,0,0,0,0,0,2,3,9,8,3,0,25,Gig Harbor
2266,98335,64,47.3092642414946,-122.57959708915715,25,37,2,0,0,1,1,10,12,13,15,11,1,64,Gig Harbor
2267,98337,36,47.566093626265584,-122.63109956527559,18,18,0,0,0,1,0,3,4,7,10,9,2,36,Bremerton
2268,98338,17,47.05801176130406,-122.29436467058446,9,8,0,0,0,1,2,2,5,2,4,1,0,17,Graham
2269,98339,9,48.033138247730314,-122.76520763513177,5,4,0,0,0,0,0,0,0,2,6,0,1,9,Port Hadlock
2270,98340,2,47.91742931388855,-122.54715717904801,1,1,0,0,0,0,0,0,0,0,1,1,0,2,Hansville
2271,98342,1,47.7474555969238,-122.52597045898399,1,0,0,0,0,0,0,0,0,0,1,0,0,1,Indianola
2272,98344,1,46.98472,-122.23557279999999,1,0,0,0,0,0,0,0,0,0,1,0,0,1,Kapowsin
2273,98345,2,47.7033016350108,-122.624293531479,1,1,0,0,0,0,0,0,0,1,1,0,0,2,Keyport
2274,98346,27,47.80600026449192,-122.51110461495811,9,18,0,0,0,0,0,3,2,7,9,6,0,27,Kingston
2275,98349,6,47.3119187,-122.75566961666665,1,5,0,0,0,0,0,0,0,2,2,1,1,6,Lakebay
2276,98350,1,47.909496110922,-124.63760733604401,0,1,0,0,0,0,0,0,0,1,0,0,0,1,La Push
2277,98354,21,47.249808334840644,-122.29941087423276,14,7,0,0,0,0,2,3,4,5,2,5,0,21,Milton
2278,98355,1,46.716712951660206,-122.177841186523,1,0,0,0,0,0,0,0,0,0,1,0,0,1,Mineral
2279,98356,7,46.55633524541559,-122.27544009499414,2,5,0,0,0,0,0,0,1,4,1,1,0,7,Morton
