,Unnamed: 0,zip_code,count,latitude,longitude,Price_1,Price_2,Price_3,Price_4,Rating_1,Rating_1.5,Rating_2,Rating_2.5,Rating_3,Rating_3.5,Rating_4,Rating_4.5,Rating_5,count_businesses,city
1551,1551,95936,6,39.56516085788071,-120.75331399164064,4,2,0,0,0,0,0,1,0,0,3,2,0,6,Sierraville
1552,1552,95937,2,38.87193045818925,-121.9614004,1,0,1,0,0,0,1,0,1,0,0,0,0,2,Dunnigan
1553,1553,95938,5,39.6462833495816,-121.80165662472879,3,2,0,0,0,0,0,0,0,0,1,4,0,5,Durham
1554,1554,95939,1,39.60248,-122.53912,1,0,0,0,0,0,0,0,0,0,0,0,1,1,Elk Creek
1555,1555,95942,1,40.08258,-121.54076,0,1,0,0,0,0,0,0,0,0,0,1,0,1,Butte Meadows
1556,1556,95945,73,39.224636665283825,-121.04843224157013,26,43,3,1,0,4,3,6,13,14,24,7,2,73,Grass Valley
1557,1557,95946,17,39.20551518445574,-121.18892163885448,7,10,0,0,0,0,1,1,5,3,4,3,0,17,Penn Valley
1558,1558,95947,2,40.122941,-120.9301852,2,0,0,0,0,0,0,0,0,0,2,0,0,2,Greenville
1559,1559,95948,19,39.35964817529805,-121.68810375414664,12,5,2,0,0,2,2,0,3,3,6,3,0,19,Gridley
1560,1560,95949,16,39.19072507688612,-121.06244912288166,7,9,0,0,0,0,1,2,2,3,6,2,0,16,Grass Valley
1561,1561,95951,2,39.74505791976715,-122.016173553373,2,0,0,0,0,0,0,0,0,1,1,0,0,2,Hamilton City
1562,1562,95953,10,39.27195226210929,-121.6594318667604,7,3,0,0,0,0,0,0,1,2,4,3,0,10,Live Oak
1563,1563,95954,5,39.841723430742185,-121.59224536896481,1,4,0,0,0,0,0,0,0,1,3,0,1,5,Magalia
1564,1564,95956,1,39.874839782714794,-121.17507171630899,0,1,0,0,0,0,1,0,0,0,0,0,0,1,Meadow Valley
1565,1565,95957,1,39.1813087463379,-121.94455718994101,1,0,0,0,0,0,0,0,0,0,1,0,0,1,Meridian
1566,1566,95959,39,39.264708188163695,-121.02068067711271,8,27,4,0,0,0,0,0,3,11,15,9,1,39,Nevada City
1567,1567,95960,3,39.3700338587565,-121.10494438948568,2,1,0,0,0,0,0,0,1,0,1,1,0,3,North San Juan
1568,1568,95961,12,39.094406467508435,-121.55382414438999,8,4,0,0,0,0,0,1,0,3,4,4,0,12,Olivehurst
1569,1569,95962,2,39.35763154575195,-121.299005744336,0,2,0,0,0,0,0,0,0,1,0,1,0,2,Oregon House
1570,1570,95963,21,39.74795467449663,-122.19863065252758,11,10,0,0,0,1,1,1,3,3,5,7,0,21,Orland
1571,1571,95965,41,39.50612645749071,-121.56308044001028,24,16,1,0,0,1,7,6,4,9,6,7,1,41,Oroville
1572,1572,95966,37,39.500154208573775,-121.5327040005923,19,18,0,0,0,0,3,5,9,8,11,1,0,37,Oroville
1574,1574,95969,24,39.726761091131564,-121.59099804539194,16,8,0,0,0,0,3,2,5,3,7,3,1,24,Auburn
1575,1575,95971,21,39.93648412127725,-120.93678241320623,7,14,0,0,0,0,0,0,5,4,3,6,3,21,Quincy
1576,1576,95973,24,39.761136963364905,-121.86223397954964,11,12,1,0,0,0,0,0,0,5,9,9,1,24,Chico
1577,1577,95979,2,39.34393119812015,-122.512691497803,1,1,0,0,0,0,0,0,0,1,0,1,0,2,Stonyford
1578,1578,95982,2,39.15882114379885,-121.75132875122051,2,0,0,0,0,0,0,0,1,0,0,1,0,2,Sutter
1579,1579,95983,1,40.0750954692003,-120.839701294899,1,0,0,0,0,0,0,0,0,1,0,0,0,1,Taylorsville
1581,1581,95987,15,39.156670638384966,-122.1461163115834,12,3,0,0,0,1,3,1,2,4,1,2,1,15,Williams
1582,1582,95988,16,39.52366182477669,-122.20766402112964,11,5,0,0,0,3,0,1,3,4,3,2,0,16,Willows
1583,1583,95991,95,39.130355830263646,-121.62436101696808,50,43,2,0,0,0,5,11,17,19,25,15,3,95,Yuba City
1584,1584,95993,43,39.13943022072574,-121.64367066287257,22,21,0,0,0,1,4,4,9,9,12,4,0,43,Yuba City
1585,1585,96001,73,40.57357680115453,-122.39118314874037,27,43,3,0,0,0,2,1,5,10,37,16,2,73,Redding
1586,1586,96002,74,40.56177910931122,-122.35001797075054,35,39,0,0,1,1,1,1,8,10,32,18,2,74,Redding
1587,1587,96003,56,40.61367390532994,-122.37646287464577,35,19,2,0,0,0,5,7,11,6,18,8,1,56,Redding
1588,1588,96006,2,41.196124763269246,-120.94439492199801,2,0,0,0,0,0,0,0,0,0,1,1,0,2,Adin
1589,1589,96007,40,40.44758050642773,-122.29792499640727,25,15,0,0,1,2,6,2,3,12,10,4,0,40,Anderson
1590,1590,96008,3,40.639863639729796,-122.2373471850587,0,3,0,0,0,0,0,0,1,0,2,0,0,3,Bella Vista
1591,1591,96009,1,41.1238164,-121.1421581,0,1,0,0,0,0,0,0,0,0,0,0,1,1,Bieber
1592,1592,96013,11,40.88509238841926,-121.65882564992964,5,6,0,0,0,0,0,1,0,5,3,2,0,11,Burney
1593,1593,96019,11,40.67838770926292,-122.35979197019738,7,4,0,0,0,1,1,1,1,1,4,2,0,11,Shasta Lake
1594,1594,96020,14,40.30098402977587,-121.23115023776064,8,6,0,0,0,0,0,0,1,3,5,5,0,14,Chester
1595,1595,96021,33,39.91936412817764,-122.1902235564086,21,11,1,0,1,0,3,5,3,10,6,3,2,33,Corning
1596,1596,96022,13,40.38996499911922,-122.28287476606229,9,4,0,0,0,0,0,0,1,6,2,2,2,13,Cottonwood
1597,1597,96023,5,41.96374244,-121.9195306,3,2,0,0,0,0,0,0,1,2,0,2,0,5,Dorris
1598,1598,96024,1,40.6564007789,-122.91246380700001,0,1,0,0,0,0,0,0,0,0,0,1,0,1,Douglas City
1599,1599,96025,13,41.21168191928632,-122.2736768971214,4,8,1,0,0,0,0,0,0,0,5,8,0,13,Dunsmuir
1600,1600,96027,5,41.45911584711822,-122.89496723044701,5,0,0,0,0,0,0,0,0,0,2,3,0,5,Etna
1601,1601,96028,4,41.005861375,-121.4374304,1,3,0,0,0,0,0,0,0,0,2,2,0,4,Fall River Mills
1602,1602,96032,4,41.605863799999995,-122.8430067,2,2,0,0,0,0,0,0,0,0,1,1,2,4,Fort Jones
1603,1603,96033,1,40.69957700000001,-122.638879,0,1,0,0,0,0,0,0,0,1,0,0,0,1,French Gulch
1604,1604,96039,2,41.79497988948904,-123.37636864789499,1,1,0,0,0,0,0,0,1,1,0,0,0,2,Happy Camp
